Date,Time,Open,High,Low,Close,Volume
2021.05.28,16:00,15530.0,15548.5,15503.0,15507.2,37681
2021.05.28,20:00,15506.5,15513.2,15492.0,15492.0,8896
2021.05.31,00:00,15517.0,15527.0,15501.2,15510.5,1486
2021.05.31,04:00,15510.2,15514.5,15466.3,15467.3,4980
2021.05.31,08:00,15467.4,15500.4,15461.2,15478.8,15225
2021.05.31,12:00,15479.2,15491.2,15448.5,15479.5,13195
2021.05.31,16:00,15479.0,15480.5,15412.0,15427.5,16565
2021.05.31,20:00,15428.0,15445.9,15425.0,15435.4,2611
2021.06.01,00:00,15462.5,15469.8,15437.5,15461.5,1840
2021.06.01,04:00,15462.2,15480.5,15435.2,15477.5,7584
2021.06.01,08:00,15477.9,15637.7,15467.0,15631.0,43345
2021.06.01,12:00,15631.4,15686.2,15627.7,15666.7,29275
2021.06.01,16:00,15666.7,15667.7,15556.2,15576.4,56592
2021.06.01,20:00,15575.7,15603.4,15559.2,15575.7,13177
2021.06.02,00:00,15567.9,15594.4,15563.9,15591.7,2263
2021.06.02,04:00,15591.6,15601.8,15573.4,15576.7,7379
2021.06.02,08:00,15576.0,15630.7,15548.7,15573.0,37051
2021.06.02,12:00,15573.0,15599.7,15557.7,15582.7,24596
2021.06.02,16:00,15582.7,15605.4,15567.7,15589.4,44291
2021.06.02,20:00,15589.2,15599.4,15571.2,15594.4,17024
2021.06.03,00:00,15612.4,15629.7,15605.0,15627.4,1042
2021.06.03,04:00,15629.6,15631.4,15598.7,15610.5,4160
2021.06.03,08:00,15610.6,15615.1,15563.7,15584.7,23271
2021.06.03,12:00,15584.2,15586.7,15472.7,15544.7,40370
2021.06.03,16:00,15544.7,15657.9,15544.7,15641.4,74406
2021.06.03,20:00,15641.2,15648.6,15620.7,15639.2,16532
2021.06.04,00:00,15600.0,15609.4,15581.0,15599.5,1427
2021.06.04,04:00,15599.6,15655.7,15590.4,15654.5,3291
2021.06.04,08:00,15653.2,15677.7,15622.7,15625.7,25780
2021.06.04,12:00,15626.2,15660.7,15607.7,15649.7,32369
2021.06.04,16:00,15649.7,15707.0,15625.7,15698.6,37941
2021.06.04,20:00,15698.2,15706.4,15691.2,15699.2,8072
2021.06.07,00:00,15683.4,15691.7,15657.7,15668.7,1888
2021.06.07,04:00,15668.6,15674.9,15649.7,15661.7,5956
2021.06.07,08:00,15661.6,15697.7,15610.7,15694.0,32821
2021.06.07,12:00,15694.0,15732.7,15673.0,15713.7,25961
2021.06.07,16:00,15713.7,15724.7,15658.5,15690.4,41176
2021.06.07,20:00,15689.7,15702.4,15675.2,15699.5,9527
2021.06.08,00:00,15708.7,15711.9,15684.5,15703.7,1044
2021.06.08,04:00,15704.2,15718.7,15651.5,15676.7,5347
2021.06.08,08:00,15676.6,15690.7,15650.7,15681.7,28420
2021.06.08,12:00,15681.7,15729.4,15636.7,15710.7,42471
2021.06.08,16:00,15710.7,15715.7,15638.0,15668.7,55597
